name,about,category
The Nippon Times • مجلة اليابان,أهلاً وسهلاً بكم في مجلة اليابان، أكبر مبادرة يابانية عربية مستقلة في العالم.,Magazine
Orange,"Orange official page dedicated to our fans. It's all about 'You'!
الصفحة الرسمية لاورنچ مصر لخدمة كل عملائها علي مدار الساعة 
#معاك_في_اللي_يهمك
#OrangeSponsorsYou  
",Telecommunication Company
House of Cocoa,"Chocolates Chocolates and more Chocolates, the No.1 Spot in Cairo for your Chocolate needs selling Chocolates from all around the World!",Foodservice Distributor
Prude style,"Online shop and store in Heliopolis, Maadi , and Genena mall
for more information CALL US : 01092752220",Clothing (Brand)
What's Up For Women's Wear,"للاستفسار عن الفروع و الموديلات اتصل على
01060009630-01010007326
                www.whatsup-egypt.com",Clothing (Brand)
JoJo corner,"All over Egypt
01018715234
",Food & Beverage Company
Just Dance 2016,,Interest
Selfie Taste Ice Cream,"People say we are the most beautiful roll ice cream in Egypt
this is the Short Description",Ice Cream Shop
GUC SPSA,German University in Cairo- Scientific Pharmaceutical students association  ,Non-Governmental Organization (NGO)
IN by Vodafone,"IN by Vodafone
شبكة بينك و بين اصحابك
#من_غيرك_مش_هتكمل",Telecommunication Company
Buy by,We market your outstanding products proffesionally to the proper Target Customer ��,Jewelry/Watches
Tseppas MG,Tseppas patisserie was founded in 1912 and since that date we 're offering superior quality in french and eastern patisserie to meet high-quality taste.,Dessert Shop
7UP,7up Egypt Official Page  إعملها بطريقتك ,Other
MBC The X Factor,"MBC The X Factor Official Page - الصفحة الرسمية
mbc.net/thexfactor, youtube.com/mbcthexfactor
",TV Show
EVE Corner,"Online store sale American brands 
Clothes , Lingerie , Swimsuits ,  Make up
All products are original from USA 
",Women's Clothing Store
باسل الزارو Bassel Alzaro,"Contacts :
Business enquiries --> booking@basselalzaro.com
Twitter  --> https://twitter.com/BasselAlzaro
Instagram --> http://instagram.com/basselalzaro",Artist
Ahmed Hossam,"Egyptian Actor, Director",Comedian
Reach Study Abroad,"Licensed and accredited by the Jordanian Ministry of Higher Education & scientific Research Study, for more info ",College & University
One Direction,1D's NEW album Made in the A.M. is OUT NOW http://smarturl.it/1DmitamDXiT ,Musician/Band
Carmen Soliman,"Welcome <3 
This is the official Carmen Soliman page .",Musician/Band
WeCapture,"IF YOU ARE A STUDENT IN THE GERMAN UNIVERSITY IN CAIRO AND HAVE AN ACTIVITY NEEDS TO BE PROMOTED, CONTACT US RIGHT NOW AND WE WILL TAKE CARE OF THE REST.",Photographer
Dubsmash Egypt Got Talent,:),Comedian
HandBand,"HandBand فريق مصري أيقاعي يلعب hand beat  
",Musician/Band
NOLA Cupcakes,"Egypt's 1st gourmet cupcake bakery. You'll find us in- Heliopolis, Zamalek, Mohandeseen, CFC Mall, Rehab, Maadi, Americana Plaza and Alexandria. ",Bakery
اخبار سكان مدينة الرحاب,"الصفحة الرسمية 
اخبار سكان مدينة الرحاب 
هى موقع التواصل بين سكان المدينة واخبارهم ",Journalist
GUC Crushes,"Hello there Captain Anonymous
Send us your crush to any of the ask accounts :
http://ask.fm/GucCrushesV
OR in a private message

",Community
Smart Solutions - Egypt,"The World's 1st PORTABLE TRAVEL SHATAFA ""الشطاف المحمول"" Now in Egypt!!!
To order: Contact Us through ""012-0099-6246"" or through Inbox Message",Shopping & Retail
Smiley's Grill,"Smiley’s grill is a family owned, Egyptian fast food chain that was founded in 1988 by Mr. Emad Anwar. Its success story started with its first outlet which can be found in Safir Square in Heliopolis, Cairo (Egypt). Smiley’s Grill has since expanded. ",Restaurant
AYB GUC,"AYBGUC is a student-run activities group from the German University in Cairo representing AYB, a sustainable development NGO.",Nonprofit Organization
