OR,Mix,Comedian
Mobil 1 Egypt,لو بتدور على أفضل أداء يبقى بتدور على موبيل وان – زيت المحركات الاول في العالم,Product/Service
His Highness Sheikh Mohammed bin Rashid Al Maktoum,His Highness Sheikh Mohammed is Vice President and Prime Minister of the UAE and Ruler of Dubai,Politician
Ignite Egypt,We offer Cairo's most challenging performance training programs. ,Gym/Physical Fitness Center
Fadi elnajjar studios,"The official Facebook page of Fadi elnajjar
Egypt Bookings: +201200755209 
USA Bookings : +1 (347) 363-8034
Whatsapp: +201200755209",Photographer
Michael Phelps,"You can't put a limit on anything. The more you dream, the farther you get.",Athlete
Nile Kayak Club,"The first recreational kayaking club in Egypt operating domestic and cross-country kayak tours in Cairo, Aswan and Luxor ",Rafting/Kayaking Center
West Innovations,West Innovation Is A Cairo Based Design & Constructing Firm Was Established In 1998 By A Group Of Qualified And Talented Architects And Interior Designers. ,Interior Design Studio
طنطا عشقنا - Tanta Eshkena, . رياضيه . ,Sports Team
The Welder,,Jewelry/Watches
Career 180,"Career 180 will Help you to find your passion,develop yourself and get a better Career Opportunities.
 ",Community Organization
BMW Egypt,Welcome to the official BMW Egypt Facebook page!,Motor Vehicle Company
Pirates of the Caribbean,"Johnny Depp returns to the big screen as the iconic, swashbuckling anti-hero Jack Sparrow in the all-new “Pirates of the Caribbean: Dead Men Tell No Tales,",Movie
AlFrenga - الفرنجة,"اللى بنعمله فى مصر مفيش بنى أدم طبيعى على وجه الارض يستحمله … اللى بنعمله فى مصر الناس بره بتشوفه عبث .
الفرنجة يذاع الخميس الساعة 10 مساءً ",TV Show
Peter Doss Designs,"Please contact us at:
E-Mail: peterdoss.designs@gmail.com
Cairo, Egypt. ",Home Decor
Dubai Jewellery Mega Store,"Online jewelry company 
Diamonds,Gold,Silver,Titanium
For Orders Call Or what's app:
Sherif : +971529588924
Ahmed:+971 529588932",Jewelry/Watches
Honeymoon Tailors,"Experts in creating tailor-made honeymoons and trips around the world. 
",Travel Company
يوسف الشريف - Youssef El Sherif,صفحة الفنان يوسف الشريف الخاصة بإيجي فيلم على الفيس بوك,Artist
Amr Youssef,الصفحة الرسمية للفنان عمرو يوسف ,Actor
صوت اقباط مصر,,Media/News Company
Mina GiHo Photography,"Because life only happens once.
Lifestyle Photographer // Family // Portrait
Mob : 01114042447",Photographer
Al Dabke,,Local Business
Siemens,Welcome to Siemens' official Facebook page: the place to go for regular updates on the company.,Business Service
VEE Stores,"VEE = Vundutch ,111 Thwara St-Heliopolis 
0224150192/ 0115 7303331
https://www.google.com.eg/maps/place/Tag+El+Din+Pharmacy/@30.0816617,31.3409096,18z/dat",Clothing (Brand)
Rey Mysterio,"The official Facebook fan page for Wrestling Superstar Rey Mysterio.
",Athlete
Pets Society,Fans Made,Community
Ramez Galal,"Ramez Galal Official Facebook Page
الصفحة الرسمية للفنان رامز جلال
",Artist
Frescars world,"▀▄▀▄▀▄▀ F R E S C A R S   W O R L D-K ▄▀▄▀▄▀▄▀

",Cars
Somaya Elkhashab,"الصفحة الرسمية للفنانة سمية الخشاب
www.twitter.com/somayaelkhashab
www.instagram.com/somaya_elkhashab
",Artist
Mickey Mouse,"""Oh, boy!""",Movie
Johnnie's Beef,,Sandwich Shop
Guitar Hero,,Video Game
كلاب للبيع,https://www.facebook.com/mostafa.gamal.14203?ref=tn_tnmn,Pet Service
MINI,"Welcome to the Official Page of MINI EGYPT! share your best pics and stories of your MINI and you. http://www.mini-egypt.com Be MINI.
Hotline 16626.",Car Dealership
Rottweilers & Bullies Adoption & Pet Services,,Veterinarian
سامح صادق أنطون,الصفحة الرسمية لحملة المرشح سامح صادق أنطون لإنتخابات مجلس النواب 2015 روض الفرج شبرا,Public Figure
Dogville,"DogVille - ""Friendship for sale"" Your source to the best breeds and tips for raising your pup. Pick your friend today! Contact us on 01271228860 ",Pet Service
GUC TCS,"GUC Theater & Cinema School, The very first club for Theater & Cinema at the GUC.",Organization
T&G stationary,for sale ,Local Business
GUC Mechatronics Curriculum Committee,This is the official page for the GUC Mechatronics Curriculum Committee which started in 2012. We aim to enhance Mechatronics Curriculum  ,Education
Viva Atata فيفا أطاطا,أيوه انا,TV Show
GUC Mechatronics Department,This page is designed to deliver updates about the department to all it's members and to keep communication with the students regarding academic aspects,College & University
German University in Cairo (GUC),"An Egyptian private university established in coop. with some German state universities as University of Ulm & University of Stuttgart, as well as some of the German & Egyptian educational institutions. It's the first German univ. outside of Germany",Education
Lazar Angelov,"OFFICIAL LAZAR ANGELOV FACEBOOK PAGE
www.lazarangelov.com
www.absthesecretrevealed.com - My eBook
https://lazarangelov.academy/ - My Fitness Academy
www.LazarAngelov.diet - Online Personal Meal Plan",Athlete
Anba Ermia الأنبا إرميا,"الاسقف العام رئيس المركز الثقافي القبطي الأرثوذكسي
Official Page",Public Figure
Nader Victor photography,"Free lancer professional photographer Weddings ,Corporate , Events,Models,School events,Products",Wedding Planning Service
Mr.Tamer El Kadyy,This is Only a Fan page Old students made it. Not Official ones. ,Teacher
KAF WEAR,"كاف ماركة عربية من أرض المصريين.. صناعة وطنية مش صنع في الصين
KAF is a textile brand that offers quality products at affordable prices.",Clothing Store
SN,Aspiring writer and a regular bonafide logophile. Documenting mortal chronicles through immortal forms of expression.,Community
Centre Hani Pierre,Education Centre,Education
Kero Tadros Photography,For reservation 012 7184 80 28,Professional Service
365 Things to Do in Cairo,"365 Things To Do in Cairo is an online magazine that conveys everything about Cairo through photography, by capturing and sharing all happenings in Cairo",Magazine
"I Hate ""Battery Low","I Hate ""Battery Low Fans. Select Target. Customer profile; Demographics; Psychographics; Interests; General; Entratainment; Art; Transportation; Beauty; Books .",Entertainment Website
Suhail Koppam Girls Feelings,"Its somethin about girls....join if you want to know the girly feelings !!

Girls are owsm!!  Respect their Feeling !!",Art
Mr.YACOUB (professeur de francais),"Je n'oublie jamais mes amis ,et même mes étudiants.",Local Business
المصرى اليوم,"صفحة المصري اليوم على فيسبوك، هنا تجدون أخبار مصرنا الحبيبه اول بأول

زوروا موقعنا",Media/News Company
Haifa Wehbe,"Official Haifa Wehbe Facebook Page
",Artist
Zombie Road Trip,"Race against the unrelenting Zombie Horde across the great wasteland in the neverending game of survival. 
http://bit.ly/iOS_DOWNLOAD
http://bit.ly/Android_DOWNLOAD",App Page
Real Madrid C.F.,,Sports Team
Mina Selim Photography- Solograph.,"“A good snapshot keeps a moment from running away.”
for reservation thanks to contact on 01223668933
our mail: minaselimphotography@hotmail.com",Artist
Youth For EGypt,,Youth Organization
Words in Love,"ربي آرح , ثم هون , ثم آشفي كل نفس لا يعلم بوجعهآ الا انت  <3",Just For Fun
iTunes,"Join the pop culture conversation. Find exclusive offers. Learn about the movies, TV shows and podcasts that we love.  http://itunes.apple.com/store ",Product/Service
Pepsi,"This is the official Pepsi Arabia page.
Follow us on Twitter: www.twitter.com/Pepsi_Arabia

هذه الصفحة الرسمية لـ بيبسي في الشرق الأوسط. عيشوا اللحظة معنا

#YallaNow",Product/Service
