name,about,category
Xperience Kiroseiz Parkland,"Situated in the mountain-lined Red Sea coast of Sharm El Sheikh-Egypt, Xperience Kiroseiz Parkland with its spellbinding gardens and legendary hospitality.",Hotel Resort
دكان جرابات - Dokkan Grabat,اطبع صورتك الشخصية خلفية لجراب موبايلك أو اختار من تشكيلة تصميماتنا المتميزة,Accessories
Magical Phone Cases,♡♡,Phone/Tablet
I'm So Blessed Daily,Bringing Good News Daily,Church
Oreo,"The classic cookie you know and love, bringing you moments of Wonder. ",Food & Beverage Company
فوتوكوبي - photocopy,photocopy,Movie
Mekky,"Mekky official Page

Digital revenue consultant : Haitham Selim
Photography: Islam Abd Rabo ",Artist
Christian words,"+بسم الاب والابن والروح القدس اله واحد امين+
صفحة Christian words صفحة ليست تابعة لاي مؤسسة دينية مسيحية صفحتنا بتمثل شباب مسيحى مصرى ",Community
Luxury Covers,,Phone/Tablet
SICO Tech,Introducing High Technology Personal Devices like Tablets and Smart Phones,Product/Service
Alexandria,"Alexandria - الإسكنــــــــــــــدرية   
الصفحة لتنشيط السياحه الداخلية 
Facebook.com/Alexandria.info",Community
Alexandria,"Alexandria, Egypt l Contact us at alexandriafans@gmail.com l Youtube Channel: www.youtube.com/user/AlexFansOfficial",Public & Government Service
LittleThings,Life's about the little things.,Media/News Company
Ourfamilylife.net - حياة عيلتنا, مدونة تُعنى بأمور العائلة والتربية. كتابنا هم آباء وأمهات يحاولون كل يوم ليكونوا أفضل أهل!,Community
Perfect Accessories Phone,بيع إكسسوارات موبايل بأعلى كواليتي وأفضل الأسعار,Phone/Tablet
Helm حلم,تعمل حلم على دمج الأشخاص ذوي الإعاقة  في كافة نواحي الحياة من خلال تدريبهم وتأهيلهم للالتحاق بسوق العمل، وجعل الأماكن متاحة لاستقبالهم.,Organization
Beneshty out let,منتجات بواقي تصدير,Local Business
Moon Drawing,عملنا ان نصل بمتعة الفن اليك ..,Art Gallery
Sony Mobile EG,"Welcome to the official Facebook page for Sony Mobile. Have you met our latest innovation, the truly exquisite Xperia XZ Premium?",Product/Service
Justpastpapers,Solved past papers.,Education Website
Lebanon 24,"""لبنان 24"" موقع إخباري ينقل الواقع اللبناني والعربي والدولي بسرعة ومصداقية وموضوعية

Twitter: @Lebanon24

",News & Media Website
FOOD INSIDER,"INSIDER food is the place for all things food-related, including recipes, hacks, good eats, and more.",Media/News Company
Abu        أبو,"Abu is an Egyptian songwriter/ singer who has gained acclaim for his street slick writing


                                              



  ",Musician/Band
OnEnt,"Nilesat 10853 H  -    www.on-eg.com
",TV Network
شيرين رضا - Shereen Reda,Official page for Egyptian actress Shereen Reda. ,Artist
Dr Magdy Ishak,"استاذ المشورة و الارشاد النفسي
مقدم برنامج عائلتي و برنامج ساعة و نص مشورة
0237485751 - 01225766199",Public Figure
Akram Hosny,,Actor
Ahmed Amin أحمد أمين,"أحمد أمين - ممثل وكاتب مصري
",Artist
TRAVEL INSIDER,"INSIDER travel is the destination for wander-lusters, adventurers, and armchair sightseers.",Media/News Company
مسلسل حكايات بنات,,TV Show
Narita Travel - ناريتا للسياحة,شركه ناريتا للسياحه الاولي في مصر لرحلات القدس2018,Tour Agency
Avatar Travel,"Avatar Travel one of the largest tour operator in Egypt, ",Tour Agency
Sherif Fayed شريف فايد,"Instagram, Twitter & Vine: sheriffayed 

Business inquiries: info@sheriffayed.com",Personal Blog
Mr Bean,"Welcome to Mr Bean's official Facebook page! 

Check out www.mrbean.com and subscribe on YouTube - http://bit.ly/2g2UnwR",Public Figure
Abanoub Flex - ابانوب فلكس,,Comedian
محافظة القاهرة الادارة العامة للعلاقات العامة والاعلام لمحافظة القاهرة,"الادارة العامة للعلاقات العامة 
أدمن / محمد هيكل 
Mohamed.hickls3@gmail.com",Government Organization
El Alsson School - Official Page,"36 years today, El Alsson School has been providing quality education since 1982. It has a reputation as one of the best international schools in Egypt.
El Alsson moved to its new school at NEWGIZA on a 14 Fedaan site for the academic year 2017-2018.",Education
سَـلّاَم صَـلاح - Sallam Salah,●  ،محتوي ساخر ، هزلي ، فخري ، فهمي ، نظمي ، فتحي ، فكري  .. وراك حاجة ولا اكمل ؟ ●,Comedian
F.S blue online recrutment,نحن شركه تعمل فى تعينات العماله الماهره فى مختلف المجالات الصناعيه عن طريق الموقع الرسمى و صفحه الفيس بوك,Employment Agency
Ga3aaan.com - جعان دوت كوم,"We are an online food ordering service that helps customers find restaurants in their area, filter by cuisine, browse menus and place their orders with an option of online payment or cash on delivery, We offer our services through desktops and mobile apps",Publisher
DIY & Crafts,DIY & Crafts,Media/News Company
Donia Samir Ghanem,Donia Samir Ghanem Official Page,Artist
Weghet Mazar - وجهة مظر,Weghet Mazar is a reality series all about the struggles of motherhood!! ,Episode
Onet100 International,100News,Website
CBCDrama,من بين المسلسلات الحصرية والمسلسلات الحديثة والقديمة نحرص دائما أن ننتقي ما يحقق لك الاستمتاع والترفيه.. نخرجك إلى عالم جديد يختلف مع عالمك ,TV Network
Al Nahar Drama,قناة متخصصة في عرض المسلسلات، ظهرت فى منتتصف عام 2011، اكتسبت شعبية كبيرة بسبب عرضها للمسلسلات الحصرية ,TV Channel
Horizon Studios,,Local Business
صدى نيوز - SadaNews.ps - Lazmak.com,Creative Sarcasm,Website
بيسوهات - Besohat,فيديوهات قصيرة عن حكايات ناس من العالم كله، مش بعملها لوحدي.. بنعملها مع بعض كلنا، يمكن نطلع منهم بحاجة..,Entertainment Website
Sony Mobile,"Welcome to the official Facebook page for Sony Mobile. Capture, create, captivate and experience entertainment to the extreme with Xperia XZ2 and Xperia XZ2 Compact.",Product/Service
Vignette - ڤينييت,"ڤينييت بتقدمه إنجي وبتقول رأيها في الأفلام من وجهة نظر الجمهور.
A web show where injy gives her opinion on movies from Egypt and around the world",TV Show
أنقذوا صقر قريش المعادى الجديده من الميكانيكيه,سرطان الورش العشوائيه بصقر قريش المعادى الجديده ,Community
Tayarah,"Tayarah is a creative production media hub in Egypt, that creates online video content to INSPIRE, EDUCATE and ENTERTAIN.",Media/News Company
Most Beautiful Cities Of the World,We are here to guide your dream Vacations Follow Cities Of the World to See All Best Destinations That Help You to Plan Your Vacation ,Community
