name,about,category
Paul Labile Pogba,"This is the Official Page for Paul Labile Pogba
",Athlete
Bastian Schweinsteiger,"Welcome to the official Facebook page of Bastian Schweinsteiger!

Website: www.bastian-schweinsteiger.de/
Instagram: www.instagram.com/bastianschweinsteiger/ 
Twitter: www.twitter.com/BSchweinsteiger",Athlete
J.K. Rowling,"J.K. Rowling is the author of the Harry Potter series of books, published between 1997 and 2007, and 'The Casual Vacancy', published in 2012.",Author
The Common Room,"Welcome to The Common Room! 
Any submissions you have, send them in a message.  
[PLEASE read information section]        ",Community Organization
Peaceful Century,"Increase the knowledge of masses.
",Magazine
Raya Abirached,Only Official Page for Raya Abirached!,Public Figure
Edurne,OFFICIAL FACEBOOK PROFILE/FACEBOOK OFICIAL. Management: http://www.alaiaproductions.com/,Musician/Band
Anthony Martial,Official Facebook Page -  Anthony Martial,Athlete
Singers Sarcasm Society,"اهلا بكم فى مجتمع الفنانين الساخر! 3:)
صلوا علي النبي كل ماتخشوا البيدج",Comedian
CodeChef,"CodeChef was created by Directi as a way to continuously challenge and engage the developer community and provide a platform for practice, competition and improvement.",Education Website
Manchester United Media,"كل ما يتعلق بمانشستر يونايتد | اهداف - ملخصات - اخبار |

https://twitter.com/ManUtdMedia08
",Athlete
Null DIES,"Null Digital Illusion and Entertainment Studio is an Indie Game Development Studio for all platforms, from mobile to Virtual Reality.",Games/Toys
INNA,"Party Never Ends
http://www.innaofficial.com
",Musician/Band
BUFFALO BURGER,"Buffalo Burger, The 8 years old best homemade burger in town at your reach everywhere, anywhere, and anytime.",Burger Restaurant
بشمهندز ساقط رياضه,,College & University
Koora Plus,صفحة رياضية محايدة .. خاصة بمتابعة كافة الاحداث الكروية علي مستوي العالم,Sports
Manchester United Army - Egypt,"رابطة جماهيرية ولدت عام 2014 في ظل توجه السوشيال ميديا لفرق بعينها , هدفنا راحة مشجع مانشستر يونايتد ومعرفته لكل ما يدور عن النادي <3",Sports League
Man Utd Arab Fans,"اكبر تجمع لعشاق مانشستر يونايتد 
كل ما يتعلق بالفريق ( اخبار - صور - تحليلات - أهداف - فيدوهات )",Sports Team
ما وراء الأفق - Beyond the horizon,"نبحث ما وراء الافق, و نستعين بالعلم لنفهم كوننا .",Community
Ahmed Haggagovic - أحمد حجاجوفيتش,"The Official Page for the Egyptian Globe Trotter & Tourism Specialist Ahmed Haggagovic 
الصفحة الرسمية للرحالة و الخبير السياحي أحمد حجاجوفيتش
For Business Enquiries: team@haggagovic.com",Public Figure
Thug Life Sarcasm Society,"Comics , Videos , Just Thug life",Comedian
Sky Sports,For 25 years the home of sport ,TV Network
اخبار اسكندرية - Alex News,اسكندرية فى عيون اهلها .,Community Center
Man United Zone,"Welcome to the biggest Manchester United fan Club! Keep up to date with the latest news, quotes and updates about the club.",Sports Team
Juventus Fan Club Egypt,"The official page of ""The Untouchables"" ... The First Juventus fans club in Egypt
since 2011",Sports Team
Zee3 Mawhbtak ذيع موهبتك,"كشك ( ذيع موهبتك ) عايزك تحضر كوبايتين شاي و تستناه يجيلك في اي حتة في مصر عشان يسمع صوتك... عشان تعرف تفاصيل اكتر خش علي موقعنا 
WWW.ZEE3MAWHBTAK.COM
",Performance Art
Sky News Arabia سكاي نيوز عربية,تبث سكاي نيوز عربية على مدار الساعة بنقل حي ومباشر عبر وسائط إعلامية متعددة. ,TV Channel
The Glocal,We're global but also kinda لوكال.,Entertainment Website
A7la de7ka fe masr احلى ضحكه في مصر,"برنامج احلى ضحكه في مصر يوميا الساعه 7 مساءا على القاهره و الناس 
",TV Show
Chevrolet FC,Chevrolet FC puts football fans first to #FindNewRoads,Cars
Tropicana Frutz,Tropicana Frutz...When fruit meets fizz.,Food & Beverage Company
Domyra Restaurant,,Food & Beverage Company
Mohammed Hussam - Football Grinta,روح كرة القدم !,Blogger
"Dubai, United Arab Emirates",,City
Luke Shaw,,Athlete
Memphis Depay,"Football player at Olympique Lyon.

https://twitter.com/memphis
http://instagram.com/memphisdepay
",Athlete
Pro Evolution Soccer,"The official Pro Evolution Soccer® Facebook page! 

Website: https://www.konami.com/wepes/2018 | Twitter: @officialpes | YouTube: officialpes",Video Game
دوت مصر تي في,هتشوف الشارع، وتضحك من قلبك,Broadcasting & Media Production Company
Fabio Cannavaro,"http://www.fabiocannavaro.it https://twitter.com/fabiocannavaro http://instagram.com/fabiocannavaroofficial Sponsorship: business@fabiocannavaro.it
",Public Figure
Leonardo Bonucci,Benvenuti sulla pagina ufficiale di Facebook di Leonardo Bonucci,Athlete
