name,about,category
Harout Aram,,Jewelry/Watches
Sal7Ha.com صلّحها,"أسعار قطع غيارالسيارات في السوق المصري
Car spare parts reviews & ratings in Egypt",Cars
محافظة القليوبية,هذه هي الصفحة الرسمية الوحيدة لمحافظة القليوبية. تصدر من مكتب محافظ القليوبية بديوان عام المحافظة ببنها ,Government Organization
خمسة محاسبة,خمسة محاسبة مدونة تختص بالأمور التي تهم المحاسبين والمراجعين الناطقين باللغة العربية.,Personal Website
فريق اللاهوت الدفاعي - دفاعيات,فريق اللاهوت الدفاعي هو مجموعة من الشباب الباحثين المهتمين بنشر العلم المسيحي بين الشباب المسيحي.,Website
القمص عبد المسيح بسيط أبو الخير,مستعدين دائما لمجاوبة كل من يسألكم عن سبب الرجاء الذي فيكم (1بط 3 : 15). ,Community
الإمبراطور لفرش وكماليات السيارات,,Community
WhatsApp,Simple. Personal. Real Time Messaging.,App Page
اذا كان الرب معنا فمن علينا,,Community
FC Barcelona,,Accountant
Maria Wedding Decoration,"Wedding Decorations
    Wedding Cars
    Photography
    Video
    D.J
    0122224030
    0123636767",Product/Service
Adel nasif for wedding decoration,.,Wedding Planning Service
Flowers Decoration,"فلاور ديكوريشن :- لزينة الكنائس و القاعات   
تأجير السيارات وتزينها اكواش الافراح بكل انواعها ",Local Business
Idar Jewellery in Maadi,"Maadi Grand Mall, Shop No. 237, Ground Floor
Open all Week 10:15 am - 9:30 pm
Tel & Fax: +20227548931
Mobile: +201149995838
Email: info@idar-group.com",Jewelry/Watches
PhotoMania,"PhotoMania is a Free, Powerful and Fun photo editing application providing over 400 Amazing Photo Effects: http://photomania.net",App Page
U.S. Embassy Cairo,"The Official Page of the U.S. Embassy in Cairo

Located at: 5 Tawfik Diab Street, Cairo, Egypt, 11451",Government Organization
بنت البابا ( كيرلس & شنودة ),البابا كيرلس & البابا شنودة,News & Media Website
رومانسيات الزمن الجميل,welcome to our official Page Romances ,Public Figure
FarmVille,"Hey Farmers, welcome to the FarmVille Fan Page! The pastures are always greener on our side! To play FarmVille, click Play Now! ",App Page
Barn Buddy,"Look after your friends' farms and grow some crops together! Or be naughty, steal their crops and add bugs and weeds to their farms. Play the best looking farm game on Facebook, with lots of animated animals to take care of!",Games/Toys
كل يوم آية من الكتاب المقدس,,App Page
Daily Horoscope,Get your free daily horoscope readings.,App Page
God wants You to Know,"Hear God talk directly to you through daily messages. Messages to bring you back to love, to strength, to happiness. And in times of need, ask for a prayer, and be supported by the caring prayers of friends around the world you never knew you had.",App Page
Pray for Egypt,"1000,000 prayers for Egypt  We need 1000,000 members (muslims & christians) to join the cause and pray to God to save Egypt on Friday Dec. 23,'11. if you love Egypt please join and spread this cause",Other
اللجنة العليا للانتخابات,الصفحة الرسمية للجنة العليا للانتخابات المكلفة بالإشراف على انتخابات مجلس النواب 2015.,Government Organization
عمرو دياب,"اغاني عمرو دياب, صور عمرو دياب, كليبات عمرو دياب",Musician/Band
دكتور / ماجد زيتون استشاري التغذيه و السمنه,عيادات الدكتور ماجد زيتون لعلاج السمنه وعلاج مشاكل الجلد والشعر وكل ما يتعلق بالجمال   ,Doctor
Solitaire,,Sport
Ain Shams University,,Local Business
Come learn from the word of our Lord and to teach each other,كلمة الله كمطرقه تحطم الصخر,Religious Organization
Nancy Ajram,"It's been a long journey creating this album, I hope you will love it as much as I do. Now out!! � #HassaBeek #Nancy9",Musician/Band
Diamonds,We Find The Best Diamonds on the Internet. http://diamondfans.net  Have a story about your engagement ring? What is your favorite diamond shape?,Jewelry/Watches
Barn Buddy,"Barn Buddy is one of the most popular farming games on Facebook. Blending elements of realism and delight, Barn Buddy gives you your own virtual farm to nurture, customize, and compete with friends. You also get to interact with your friends on Facebook b",Other
بورتريه,بورترية ... نرسم الواقع بقلم معبر ,Just For Fun
المطالبة بإصدار قانون رادع بتجريم الفتنة الطائفية و إعتبارها خيانة عظمي,مليون توقيع  1. لا للتميز الديني,Cause
يستطيع الرب ان يستخدمك رغم ضعفك,"فقال لي تكفيك نعمتي لأن قوتي في الضعف تكمل""2كو9:12""",Religious Organization
Ain Shams University جامعة عين شمس,الصفحه الرسمية لجامعة عين شمس ,Community College
Diamonds,,Local Business
لا لتصدير الغاز لاسرائيل,لا لتصدير الغاز لاسرائيل  1. وقف تصدير الغاز لاسرائيل,Cause
احمد شوقي - Ahmed Shawky,كليبات واعمال المطرب احمدشوقى,Musician/Band
Céline Dion,,Musician/Band
كل يوم معلومة طبية,"أضف استشارتك الطبية الاّن : 
http://www.dailymedicalinfo.com/add-consultation/",Health/Beauty
ACCOUNTING,Accounting is Life!,Local Business
Marketing,,Interest
تصويت للسيد المسيح على أنه أفضل رجل تأثيراً فى البشريه,الهدف تصويت للمسيح على أنه أفضل رجل فى تاريخ البشريه,Cause
frenzycaffe,welcome frenzy caffe in horia mall,Community
†† God is love ††,"""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life"" (John 3:16)",Community
The Lady of Lebanon - Harissa,The Lady of Lebanon - HarissaAdmin:ladyharissa@gmail.com - Please do not comment with external links.,Catholic Church
Pope Kyrillos,"كن مطمئناً جداً جداً , ولا تفكر في الأمر كثيراً بل دع الأمر لمن بيده الامر
",Religious Organization
s.t Mary,Mary Rofail,Religious Organization
Amr Diab,"Best Selling Middle Eastern Artist, A Guinness World Record Holder, 7 times winner of World Music Awards, 5 Platinum Record Awards & 6 African Music Awards",Musician
البابا كيرلس السادس,,Community
